Stellar Spectroscopy - BD-03 4630	
	
Date of Observation:	7/27/2010
Star Observed:	BD-03 4630
Spectral Class:	A4
	
Wavelength (A)	Intensity (Counts)
6535.6	3073.245117
6536.4	3050.243896
6537.2	3004.126465
6538	3074.406982
6538.8	3027.398682
6539.6	2971.570312
6540.4	2946.699219
6541.2	2918.132812
6542	2941.4104
6542.8	2870.351318
6543.6	2923.901367
6544.4	2876.723389
6545.2	2842.249512
6546	2860.649414
6546.8	2941.167725
6547.6	2867.296631
6548.4	2793.811523
6549.2	2723.528809
6550	2780.191895
6550.8	2761.163574
6551.6	2644.2771
6552.4	2704.782471
6553.2	2570.437988
6554	2550.470459
6554.8	2514.615723
6555.6	2438.936035
6556.4	2385.054443
6557.2	2251.617432
6558	2165.710938
6558.8	2132.427246
6559.6	1993.033936
6560.4	1913.255371
6561.2	1916.918457
6562	1849.906982
6562.8	1785.123047
6563.6	1814.389526
6564.4	1826.293091
6565.2	1904.942261
6566	1897.033325
6566.8	2010.390381
6567.6	2152.075928
6568.4	2241.619141
6569.2	2372.210693
6570	2321.980957
6570.8	2453.319092
6571.6	2534.258545
6572.4	2624.703613
6573.2	2722.941895
6574	2753.120117
6574.8	2890.506348
6575.6	2812.902832
6576.4	2871.848633
6577.2	2893.371582
6578	2926.057861
6578.8	2990.302246
6579.6	2963.560547
6580.4	3054.530762
6581.2	2921.015381
6582	3056.105713
6582.8	3129.44751
6583.6	2995.449219
6584.4	3089.519775
6585.2	3117.460205
6586	3102.48999
6586.8	3102.02417
6587.6	3081.376465
6588.4	3157.770264
6589.2	3082.125488
6590	3098.340576
6590.8	3133.43457
6591.6	3216.056885
6592.4	3085.387695
6593.2	3083.782227
6594	3147.837402
6594.8	3250.088379
6595.6	3231.129883
6596.4	3171.687012
6597.2	3026.895264
6598	3150.036865
6598.8	3210.228271
6599.6	3198.641113
6600.4	3261.755615
6601.2	3158.913574
6602	3107.960449
6602.8	3207.411865
6603.6	3194.987793
6604.4	3172.485596
6605.2	3225.956787
6606	3225.571045
6606.8	3272.780273
6607.6	3247.359131
6608.4	3167.407471
6609.2	3293.921875
6610	3316.226807
6610.8	3264.966797
6611.6	3305.960693
6612.4	3230.290771
6613.2	3177.63501
6614	2976.899658
6614.8	3196.253174
6615.6	3278.871582
6616.4	3273.191162
6617.2	3282.892578
6618	3271.9021
6618.8	3291.63916
6619.6	3337.199219
6620.4	3326.516113
6621.2	3263.522705
6622	3226.525879
6622.8	3258.179688
6623.6	3280.660156
6624.4	3302.409424
6625.2	3333.509766
