Steller Spectroscopy HD 200207	
	
Date of Observation:	7/23/2010
Star Observed:	HD 200207
Spectral Class:	G5
	
Wavelength (A)	Intensity (Counts)
6685.2	18853.56
6686	18958.73
6686.8	18805.89
6687.6	18392.1
6688.4	18579.15
6689.2	19162.74
6690	19007.96
6690.8	19060.39
6691.6	19100.93
6692.4	19167.28
6693.2	18987.64
6694	19452.96
6694.8	19385.07
6695.6	18827.36
6696.4	18316.97
6697.2	18459.83
6698	18770.9
6698.8	18395.43
6699.6	18975.25
6700.4	19328.68
6701.2	19126.15
6702	19247.92
6702.8	18963.92
6703.6	18053.13
6704.4	18103.39
6705.2	18001.35
6706	18436.06
6706.8	19409.82
6707.6	18959.73
6708.4	18749.38
6709.2	18671.22
6710	18230.8
6710.8	18004.18
6711.6	18439.51
6712.4	18340.01
6713.2	17908.35
6714	18063.75
6714.8	18183.95
6715.6	17417.28
6716.4	17781.02
6717.2	17232.85
6718	16385.99
6718.8	18001.1
6719.6	18320.97
6720.4	18798.94
6721.2	18720.68
6722	18309.64
6722.8	18668.09
6723.6	19347.95
6724.4	19468.88
6725.2	18697.57
6726	18257.48
6726.8	18074.74
6727.6	18516.98
6728.4	18830.15
6729.2	18744.34
6730	18862.99
6730.8	18989.31
6731.6	19000.23
6732.4	18817.9
6733.2	18377.8
6734	18376.52
6734.8	18544.13
6735.6	18865.19
6736.4	18907.15
6737.2	18652.18
6738	18191.43
6738.8	17864.27
6739.6	18003.4
6740.4	18346.46
6741.2	18888.51
6742	18619.82
6742.8	18293.94
6743.6	17815.35
6744.4	18539.26
6745.2	18404.46
6746	18496.21
6746.8	18263.63
6747.6	18126.18
6748.4	18131.54
6749.2	18425.31
6750	17709.3
6750.8	17791.13
6751.6	18780.89
6752.4	18457.75
6753.2	18211.47
6754	18872.02
6754.8	18914.41
6755.6	18804.04
6756.4	18928.07
6757.2	19048.23
6758	19318.6
6758.8	19567.28
6759.6	19364.6
6760.4	19558.8
6761.2	19628.29
6762	19610.76
6762.8	19552.7
6763.6	19600.45
6764.4	19646.1
6765.2	19610.78
6766	19291
6766.8	19029.48
6767.6	17991.65
6768.4	18352.4
6769.2	18938.37
6770	19215.49
6770.8	18253.84
6771.6	18237.62
6772.4	18323.38
6773.2	19153.8
6774	19606.86
6774.8	19454.8
6775.6	19663.5
6776.4	19363.79
6777.2	19016.28
6778	18831.8
6778.8	18915.93
6779.6	19010.06
6780.4	19014.84
6781.2	19126.92
6782	18482.49
6782.8	18205.87
6783.6	17833.29
6784.4	17673.96
6785.2	18028.96
6786	17952.63
