Stellar Spectroscopy - HD 350350	
	
Date of Observation:	7/23/2010
Star Observed:	HD 350350
Spectral Class:	F1
	
Wavelength (A)	Intensity (Counts)
6367.6	1907.675049
6368.4	1880.938965
6369.2	1869.465698
6370	1858.354248
6370.8	1844.21521
6371.6	1874.592041
6372.4	1805.535156
6373.2	1872.138184
6374	1899.736572
6374.8	1942.109009
6375.6	1934.433228
6376.4	1925.881958
6377.2	1870.952759
6378	1947.518188
6378.8	1910.206909
6379.6	1912.676758
6380.4	1931.339966
6381.2	1925.164673
6382	1876.460693
6382.8	1912.674683
6383.6	1891.096436
6384.4	1955.869751
6385.2	1888.347168
6386	1903.43457
6386.8	1993.473267
6387.6	1858.297729
6388.4	1915.335938
6389.2	1913.443848
6390	1925.557983
6390.8	1942.466797
6391.6	1875.394653
6392.4	1890.13269
6393.2	1882.243896
6394	1859.56543
6394.8	1900.879639
6395.6	1926.516235
6396.4	1936.193604
6397.2	1835.03064
6398	1910.747803
6398.8	1932.989868
6399.6	1894.221313
6400.4	1837.482056
6401.2	1868.026489
6402	1816.973999
6402.8	1909.378784
6403.6	1911.76709
6404.4	1893.120117
6405.2	1943.626831
6406	1902.739624
6406.8	1918.385376
6407.6	1913.47522
6408.4	1839.676392
6409.2	1819.232422
6410	1881.262573
6410.8	1867.74707
6411.6	1878.11377
6412.4	1904.208618
6413.2	1886.911865
6414	1830.622925
6414.8	1928.497314
6415.6	1910.262207
6416.4	1928.12085
6417.2	1896.681274
6418	1882.049561
6418.8	1869.653442
6419.6	1878.420044
6420.4	1947.647095
6421.2	1930.49939
6422	1941.930298
6422.8	1979.729736
6423.6	1945.324707
6424.4	1939.366211
6425.2	1964.865479
6426	1909.761475
6426.8	1895.208618
6427.6	1918.533813
6428.4	1912.250244
6429.2	1945.419556
6430	1977.987915
6430.8	1958.374268
6431.6	1919.944336
6432.4	1907.446167
6433.2	1872.415527
6434	1867.160522
6434.8	1867.513428
6435.6	1906.55249
6436.4	1896.155151
6437.2	1926.895142
6438	1815.324829
6438.8	1836.475464
6439.6	1827.658447
6440.4	1897.943604
6441.2	1901.564941
6442	1919.753906
6442.8	1939.753906
6443.6	2021.841797
6444.4	1973.677124
6445.2	1947.381958
6446	1992.67981
6446.8	1946.448975
6447.6	1929.87793
6448.4	1931.984009
6449.2	1840.436768
6450	1883.830811
6450.8	1828.325806
6451.6	1895.367676
6452.4	1905.80188
6453.2	1910.463501
6454	1961.622803
6454.8	1941.533325
6455.6	1888.502197
6456.4	1864.756104
6457.2	1864.4104
6458	1809.131226
6458.8	1868.013184
6459.6	1935.834961
6460.4	1898.223022
6461.2	1901.430786
6462	1884.01709
6462.8	1881.663208
6463.6	1917.436035
6464.4	1865.650269
6465.2	1903.362915
6466	1939.732788
6466.8	1914.702881
6467.6	1905.492554
6468.4	1900.972778
6469.2	1909.797852
6470	1866.014038
6470.8	1904.500244
6471.6	1911.090698
6472.4	1940.400269
6473.2	1869.515747
6474	1850.084106
6474.8	1828.948975
6475.6	1878.42688
6476.4	1940.746338
6477.2	1943.557251
6478	1956.490112
6478.8	1944.587524
6479.6	1904.666382
6480.4	1881.217896
6481.2	1948.279175
6482	1934.043945
6482.8	2004.628662
6483.6	1873.415039
6484.4	1920.101562
6485.2	1856.979736
6486	1924.493164
6486.8	1896.803223
6487.6	1933.537109
6488.4	1932.064209
6489.2	1865.519775
6490	1976.055298
6490.8	1891.236084
6491.6	1901.818237
6492.4	1899.078369
6493.2	1873.232178
6494	1807.533325
6494.8	1821.003296
6495.6	1802.8396
6496.4	1798.017944
6497.2	1866.493286
6498	1907.778931
6498.8	1931.830322
6499.6	2015.253906
6500.4	1964.480957
6501.2	1996.957275
6502	1928.68042
6502.8	1982.399536
6503.6	1990.41626
6504.4	1968.933838
6505.2	1999.349365
6506	1992.872681
6506.8	1923.410889
6507.6	1991.859009
6508.4	1937.941162
6509.2	1912.037476
6510	1942.531006
6510.8	1922.269165
6511.6	1946.425171
6512.4	1899.298096
6513.2	1965.88623
6514	1969.509644
6514.8	1900.28894
6515.6	1896.116089
6516.4	1839.926514
6517.2	1858.428345
6518	1932.893311
6518.8	1882.197144
6519.6	1929.759644
6520.4	1910.619141
6521.2	1953.630859
6522	1981.672119
6522.8	1993.366455
6523.6	1901.952759
6524.4	1956.923706
6525.2	1981.724487
6526	1933.042847
6526.8	1950.765503
6527.6	1945.298584
6528.4	1861.969238
6529.2	1905.313354
6530	1924.14978
6530.8	1903.216064
6531.6	1895.667114
6532.4	1960.676025
6533.2	1922.949219
6534	1908.886841
6534.8	1948.407593
6535.6	1933.681885
6536.4	1963.55835
6537.2	1907.045288
6538	1951.202026
6538.8	1947.948364
6539.6	1911.574707
6540.4	1897.020752
6541.2	1894.734741
6542	1917.078369
6542.8	1925.865723
6543.6	1923.030396
6544.4	1885.013428
6545.2	1972.089355
6546	1843.330811
6546.8	1871.345337
6547.6	1794.91687
6548.4	1793.036743
6549.2	1775.621948
6550	1867.253174
6550.8	1911.458374
6551.6	1852.217773
6552.4	1813.508301
6553.2	1721.08606
6554	1779.276489
6554.8	1786.779785
6555.6	1716.525513
6556.4	1688.999268
6557.2	1557.737183
6558	1590.604614
6558.8	1582.360962
6559.6	1531.552002
6560.4	1462.974976
6561.2	1284.555054
6562	1141.01416
6562.8	1023.667603
6563.6	947.647644
6564.4	993.190247
6565.2	1187.813721
6566	1313.259644
