Stellar Spectroscopy - BD+36-4307	
	
Date of Observation:	7/23/2010
Star Observed:	BD+36 4307
Spectral Class:	K0
	
Wavelength (A)	Intensity (Counts)
6625.2	7583.82
6626	7976.5
6626.8	8663.81
6627.6	8411.64
6628.4	8274.73
6629.2	8498.44
6630	8158.11
6630.8	8011.96
6631.6	8011.12
6632.4	7881.06
6633.2	7726.86
6634	7195.87
6634.8	7218.63
6635.6	7776.22
6636.4	8043.77
6637.2	8458.8
6638	8396.64
6638.8	8408.56
6639.6	8162.59
6640.4	7803.99
6641.2	8302.3
6642	8487.5
6642.8	8506.58
6643.6	7922.44
6644.4	7438.53
6645.2	8160.55
6646	8296.02
6646.8	8261.53
6647.6	8052.11
6648.4	7948.26
6649.2	8058
6650	8411.73
6650.8	8513.04
6651.6	8373
6652.4	8384.63
6653.2	8509.92
6654	8446.7
6654.8	8388.84
6655.6	8541.27
6656.4	8659.71
6657.2	8287.14
6658	8386.94
6658.8	8581.55
6659.6	8514.4
6660.4	8396.69
6661.2	8344.31
6662	8343.85
6662.8	8587.56
6663.6	7797.15
6664.4	7866.74
6665.2	8568.69
6666	8084.92
6666.8	8259.47
6667.6	8096.69
6668.4	7962.01
6669.2	7977.03
6670	8223.22
6670.8	8322.58
6671.6	8480.13
6672.4	8288.65
6673.2	8278.47
6674	8394.46
6674.8	8370.58
6675.6	8547.79
6676.4	8617.56
6677.2	8596.68
6678	7606.94
6678.8	7204.14
6679.6	8175.08
6680.4	8791.2
6681.2	8714.54
6682	8668.58
6682.8	8641.24
6683.6	8744.52
6684.4	8736.68
6685.2	8679.07
6686	8657.69
6686.8	8847.07
6687.6	8556.97
6688.4	8349.61
6689.2	8502.54
6690	8621.8
6690.8	8667.24
6691.6	8520.38
6692.4	8838.61
6693.2	8684.16
6694	8808.62
6694.8	9013.28
6695.6	8660.41
6696.4	8402.39
6697.2	7975.91
6698	8179.4
6698.8	8207.57
6699.6	8426.04
6700.4	8797.05
6701.2	8731.53
6702	8692.2
6702.8	8723.55
6703.6	8239.64
6704.4	8106.59
6705.2	8215.27
6706	8323.36
6706.8	8748.5
6707.6	8735.67
6708.4	8583.64
6709.2	8675.5
6710	8487.81
6710.8	7879.35
6711.6	8123.31
6712.4	8466.37
6713.2	8279.99
6714	7972.5
6714.8	8288.16
6715.6	8062.79
6716.4	7763.01
6717.2	7756.53
6718	7324.79
6718.8	7678.85
6719.6	8385.35
6720.4	8482.57
6721.2	8593.61
6722	8557.58
6722.8	8348.24
6723.6	8849.93
6724.4	9078.04
6725.2	8722.05
6726	8445.27
6726.8	8263.12
6727.6	8296.12
6728.4	8574.89
6729.2	8373.11
6730	8578.53
6730.8	8693.87
6731.6	8748.1
6732.4	8620.45
6733.2	8428.79
6734	8364.23
6734.8	8487.52
6735.6	8578.18
6736.4	8714.07
6737.2	8743.07
6738	8383.85
6738.8	7967.54
6739.6	8051.82
6740.4	8118
6741.2	8532.84
