Stellar Spectroscopy - BD+00 4814	
	
Date of Observation:	8/3/2010
Star Observed:	BD+00 4814
Spectral Class:	M0
	
Wavelength (A)	Intensity (Counts)
6595.6	7232.73877
6596.4	7409.807129
6597.2	7505.729492
6598	7425.943359
6598.8	7234.385254
6599.6	6860.82373
6600.4	7292.753418
6601.2	7753.750488
6602	7800.972656
6602.8	7802.578613
6603.6	7791.223633
6604.4	7501.513184
6605.2	7474.101074
6606	7131.094238
6606.8	7021.253906
6607.6	7094.322266
6608.4	7038.46875
6609.2	6899.376953
6610	6826.705566
6610.8	7157.326172
6611.6	7789.433105
6612.4	7758.681152
6613.2	7652.777832
6614	7136.354492
6614.8	7149.753906
6615.6	7636.130371
6616.4	7499.914551
6617.2	7598.763184
6618	7535.098633
6618.8	7373.383789
6619.6	7329.421875
6620.4	7453.987305
6621.2	7692.865234
6622	7419.003418
6622.8	7360.655762
6623.6	7218.94873
6624.4	6864
6625.2	6384.541016
6626	6509.548828
6626.8	6911.818359
6627.6	7002.758301
6628.4	7227.162109
6629.2	7152.287109
6630	7096.580566
6630.8	7161.927734
6631.6	7396.879883
6632.4	7413.507324
6633.2	7286.206055
6634	7138.590332
6634.8	7120.809082
6635.6	7173.483398
6636.4	7303.729004
6637.2	7305.244629
6638	7373.200195
6638.8	7517.477539
6639.6	7375.862305
6640.4	7246.07959
6641.2	7435.696289
6642	7575.520996
6642.8	7397.198242
6643.6	7081.621582
6644.4	6689.027344
6645.2	7103.84375
6646	7402.312988
6646.8	7195.991699
6647.6	7191.847168
6648.4	7005.046875
6649.2	7101.787598
6650	7119.293945
6650.8	6785.92041
6651.6	6465.524414
6652.4	6114.420898
6653.2	6570.220703
6654	6670.98877
6654.8	6817.848145
6655.6	6773.650391
6656.4	6693.575684
6657.2	6438.83252
6658	6494.65918
6658.8	6498.460449
6659.6	6541.772949
6660.4	6555.797852
6661.2	6509.665039
6662	6602.837402
6662.8	6527.84082
6663.6	6181.516113
6664.4	6317.398926
6665.2	6729.235352
6666	6699.319336
6666.8	6523.728027
6667.6	6559.445801
6668.4	6673.353516
6669.2	6950.374023
6670	7122.36084
6670.8	7137.94043
6671.6	7218.635254
6672.4	7241.462891
6673.2	7246.888672
6674	7204.705566
6674.8	7237.432129
6675.6	7041.453613
6676.4	7177.01123
6677.2	7037.974121
6678	6450.736816
6678.8	6142.17627
6679.6	6536.453125
6680.4	6797.674316
6681.2	6352.223633
6682	5853.053223
6682.8	5959.397461
6683.6	6339.480469
6684.4	6491.684082
6685.2	6522.27832
6686	6443.348145
6686.8	6457.027832
6687.6	6472.439941
6688.4	6413.336426
6689.2	6468.501465
6690	6591.971191
6690.8	6426.53125
6691.6	6379.99707
6692.4	6399.850586
6693.2	6317.496094
6694	6355.403809
6694.8	6550.492676
6695.6	6377.507812
6696.4	5998.915527
6697.2	5996.240234
6698	6394.942871
